region_code,region_name,income_2024_tl,income_2025_tl,income_growth_pct,vs_turkey_2025_pct,ankara_gap_tl,income_rank_2025
TR10,İstanbul,257891,434929,68.64838245615397,30.655607692816076,14689,2
TR21,"Tekirdağ, Edirne, Kırklareli",225758,385188,70.61986729152456,15.713075504232732,64430,5
TR22,"Balıkesir, Çanakkale",200886,350333,74.39393486853241,5.242398207172516,99285,7
TR31,İzmir,208785,405896,94.40860215053763,21.93389849856706,43722,3
TR32,"Aydın, Denizli, Muğla",178573,347745,94.73548632772031,4.464945536256093,101873,8
TR33,"Manisa, Afyonkarahisar, Kütahya, Uşak",158109,297038,87.86912825961836,-10.76777957354258,152580,13
TR41,"Bursa, Eskişehir, Bilecik",218550,365324,67.15808739418898,9.745795807523393,84294,6
TR42,"Kocaeli, Sakarya, Düzce, Bolu, Yalova",189941,332409,75.00644937112051,-0.14209239310025712,117209,9
TR51,Ankara,248285,449618,81.08947379020077,35.06828245444331,0,1
TR52,"Konya, Karaman",171185,289474,69.10009638694979,-13.040056236143737,160144,16
TR61,"Antalya, Isparta, Burdur",211017,389485,84.575176407588,17.00392331216467,60133,4
TR62,"Adana, Mersin",147474,289203,96.10439806338744,-13.12146646559441,160415,17
TR63,"Hatay, Kahramanmaraş, Osmaniye",144732,239460,65.45062598457841,-28.06459946767924,210158,20
TR71,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir",146866,311358,112.00141625699618,-6.465954902938575,138260,12
TR72,"Kayseri, Sivas, Yozgat",173030,291675,68.56903427151362,-12.378860977763894,157943,14
TR81,"Zonguldak, Karabük, Bartın",173476,315335,81.77442412783324,-5.2712372552436,134283,11
TR82,"Kastamonu, Çankırı, Sinop",162865,288741,77.28855186811163,-13.260254384436532,160877,18
TR83,"Samsun, Tokat, Çorum, Amasya",176784,318230,80.01063444655625,-4.4015597118498455,131388,10
TR90,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane",166101,291487,75.48780561224797,-12.435337446903105,158131,15
TRA1,"Erzurum, Erzincan, Bayburt",141149,259848,84.09482178407215,-21.939906633581874,189770,19
TRA2,"Ağrı, Kars, Iğdır, Ardahan",107973,205616,90.43279338353108,-38.23156553974081,244002,23
TRB1,"Malatya, Elazığ, Bingöl, Tunceli",122632,228159,86.05176462913433,-31.459496157797663,221459,21
TRB2,"Van, Muş, Bitlis, Hakkari",91818,172552,87.92829292731273,-48.16421434622479,277066,26
TRC1,"Gaziantep, Adıyaman, Kilis",123777,220161,77.86907099057177,-33.86214935022019,229457,22
TRC2,"Şanlıurfa, Diyarbakır",102752,172968,68.33540952974151,-48.039245137916744,276650,25
TRC3,"Mardin, Batman, Şırnak, Siirt",109225,189487,73.48317692835889,-43.076826022434375,260131,24
